artista,tipo,título_canción,nombre_album,año,genre
Cooper Alan,track,Colt 45 (Country Remix),Colt 45 (Country Remix),2021,pop
Taylor Swift,track,Treacherous (Taylor's Version),Red (Taylor's Version),2021,pop
OneRepublic,track,Sunshine,Sunshine,2021,pop
Kevin Gates,track,Big Gangsta,Big Gangsta,2021,pop
SZA,track,I Hate U,I Hate U,2021,pop
girl in red,track,midnight love,if i could make it go quiet,2021,pop
Phoebe Bridgers,track,That Funny Feeling,That Funny Feeling,2021,pop
Stellar,track,Bad Dream,Bad Dream,2021,pop
OneRepublic,track,Rescue Me,Human (Deluxe),2021,pop
Sabrina Carpenter,track,Skin,Skin,2021,pop
Rauw Alejandro,track,2/Catorce,VICE VERSA,2021,pop
Rauw Alejandro,track,Todo De Ti,Todo De Ti,2021,pop
Piso 21,track,Pa' Olvidarme De Ella,El Amor En Los Tiempos Del Perreo,2021,pop
Taylor Swift,track,White Horse (Taylor’s Version),Fearless (Taylor's Version),2021,pop
Hotel Ugly,track,Piggypink,Piggypink,2021,pop
DDG,track,Moonwalking in Calabasas (feat. Blueface) - Remix,Die 4 Respect,2021,pop
Noah Kahan,track,Someone Like You (feat. Joy Oladokun),I Was / I Am,2021,pop
Yebba,track,Far Away (feat. A$AP Rocky),Dawn,2021,pop
Remi Wolf,track,Sexy Villain,Juno,2021,pop
Taylor Swift,track,State Of Grace (Taylor's Version),Red (Taylor's Version),2021,pop
Japanese Breakfast,track,Be Sweet,Jubilee,2021,pop
Billie Eilish,track,Not My Responsibility,Happier Than Ever,2021,pop
The Marías,track,Hush - Still Woozy Remix,Hush (Still Woozy Remix),2021,pop
Adele,track,I Drink Wine,30,2021,pop
Taylor Swift,track,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),2021,pop
Taylor Swift,track,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),2021,pop
Twenty One Pilots,track,Shy Away,Scaled And Icy,2021,pop
Coldplay,track,My Universe,Music Of The Spheres,2021,pop
Hayden Coffman,track,Better Off,Better Off,2021,pop
Tainy,track,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021,pop
Taylor Swift,track,‘tis the damn season,evermore (deluxe version),2021,pop
Young Stoner Life,track,Ski,Slime Language 2,2021,pop
Taylor Swift,track,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),2021,pop
Lin-Manuel Miranda,track,Dos Oruguitas,Encanto (Original Motion Picture Soundtrack),2021,pop
